timestamp,amount,price,symbol,slippage_pct
2022-01-03 09:16:00+05:30,1,100,xyz,0
2022-01-03 09:21:00+05:30,-1,200,xyz,0
2022-01-03 09:21:00+05:30,1,50,xyz,0
2022-01-03 09:26:00+05:30,1,52,xyz,0
2022-01-03 09:31:00+05:30,-1,49,xyz,0
2022-01-03 11:11:00+05:30,-1,53,xyz,0
2022-01-03 11:16:00+05:30,1,56,xyz,0
2022-01-03 11:16:00+05:30,1,58,xyz,0
2022-01-03 11:21:00+05:30,1,60,xyz,0
2022-01-03 12:13:00+05:30,-1,61,xyz,0
2022-01-03 12:19:00+05:30,-1,59,xyz,0
2022-01-03 12:24:00+05:30,-1,57,xyz,0
2022-01-03 12:31:00+05:30,1,40,xyz,0
2022-01-03 12:47:00+05:30,1,50,xyz,0
2022-01-03 13:24:00+05:30,-1,30,xyz,0
2022-01-03 14:12:00+05:30,-1,40,xyz,0
2022-01-03 14:16:00+05:30,1,20,xyz,0
2022-01-03 14:19:00+05:30,-1,10,xyz,0
2022-01-03 14:25:00+05:30,1,20,xyz,0
2022-01-03 14:28:00+05:30,-1,30,xyz,0
